classe,fpr,tpr,thresholds
Verde,0.0,0.0,inf
Verde,0.0,0.035768261964735516,1.0
Verde,0.0006191950464396285,0.09521410579345088,0.998
Verde,0.001238390092879257,0.14609571788413098,0.996
Verde,0.001238390092879257,0.21712846347607054,0.994
Verde,0.001238390092879257,0.2685138539042821,0.992
Verde,0.0018575851393188853,0.3118387909319899,0.99
Verde,0.002476780185758514,0.35818639798488666,0.988
Verde,0.002476780185758514,0.3924433249370277,0.986
Verde,0.0030959752321981426,0.42670025188916877,0.984
Verde,0.0030959752321981426,0.44584382871536526,0.982
Verde,0.0030959752321981426,0.47153652392947104,0.98
Verde,0.0037151702786377707,0.4987405541561713,0.978
Verde,0.0043343653250774,0.5219143576826196,0.976
Verde,0.0043343653250774,0.5491183879093199,0.974
Verde,0.005572755417956657,0.5677581863979849,0.972
Verde,0.005572755417956657,0.5869017632241813,0.97
Verde,0.005572755417956657,0.6055415617128463,0.968
Verde,0.005572755417956657,0.6171284634760705,0.966
Verde,0.006191950464396285,0.6327455919395466,0.964
Verde,0.006191950464396285,0.6589420654911838,0.96
Verde,0.006191950464396285,0.6740554156171285,0.958
Verde,0.006191950464396285,0.6831234256926952,0.956
Verde,0.006811145510835914,0.6891687657430731,0.954
Verde,0.00804953560371517,0.6992443324937028,0.952
Verde,0.00804953560371517,0.710831234256927,0.95
Verde,0.00804953560371517,0.7219143576826197,0.948
Verde,0.00804953560371517,0.7299748110831235,0.946
Verde,0.0086687306501548,0.7400503778337532,0.944
Verde,0.0086687306501548,0.7496221662468514,0.942
Verde,0.0086687306501548,0.7571788413098237,0.94
Verde,0.0086687306501548,0.7632241813602015,0.938
Verde,0.0086687306501548,0.7697732997481108,0.936
Verde,0.0086687306501548,0.7879093198992443,0.928
Verde,0.0086687306501548,0.7944584382871537,0.926
Verde,0.009287925696594427,0.801007556675063,0.924
Verde,0.009287925696594427,0.8075566750629722,0.922
Verde,0.009287925696594427,0.8125944584382871,0.92
Verde,0.009287925696594427,0.8156171284634761,0.918
Verde,0.009287925696594427,0.8211586901763224,0.916
Verde,0.009907120743034056,0.8256926952141058,0.914
Verde,0.009907120743034056,0.8302267002518892,0.912
Verde,0.011145510835913313,0.8337531486146096,0.91
Verde,0.01238390092879257,0.8377833753148615,0.908
Verde,0.01238390092879257,0.8403022670025189,0.906
Verde,0.01238390092879257,0.8418136020151133,0.904
Verde,0.01238390092879257,0.8483627204030226,0.902
Verde,0.01238390092879257,0.8528967254408061,0.9
Verde,0.01238390092879257,0.8554156171284635,0.898
Verde,0.01238390092879257,0.8574307304785894,0.896
Verde,0.01238390092879257,0.8584382871536524,0.894
Verde,0.013003095975232198,0.8609571788413098,0.892
Verde,0.013003095975232198,0.8629722921914358,0.89
Verde,0.013622291021671827,0.8659949622166246,0.888
Verde,0.013622291021671827,0.8695214105793451,0.886
Verde,0.013622291021671827,0.8700251889168765,0.884
Verde,0.013622291021671827,0.8740554156171285,0.88
Verde,0.014241486068111455,0.8770780856423174,0.878
Verde,0.014241486068111455,0.8775818639798488,0.876
Verde,0.014241486068111455,0.8806045340050378,0.874
Verde,0.014241486068111455,0.8826196473551637,0.872
Verde,0.014860681114551083,0.8836272040302267,0.87
Verde,0.014860681114551083,0.8856423173803526,0.868
